time,.data
2019/04/05/17:07:38.294818,LR-416
2019/04/05/17:07:38.414965,LR-832
2019/04/05/17:07:38.504997,LR-832
2019/04/05/17:07:38.635017,LR0
2019/04/05/17:07:38.665064,LR-416
2019/04/05/17:07:38.755077,LR-416
2019/04/05/17:07:38.825169,LR0
2019/04/05/17:07:38.875022,LR-416
2019/04/05/17:07:38.975049,LR0
2019/04/05/17:07:39.004786,LR-416
2019/04/05/17:07:39.104841,LR0
2019/04/05/17:07:39.144757,LR0
2019/04/05/17:07:39.184970,LR0
2019/04/05/17:07:39.224829,LR0
2019/04/05/17:07:39.264882,LR0
2019/04/05/17:07:39.304977,LR0
2019/04/05/17:07:39.345047,LR832
2019/04/05/17:07:39.434890,LR0
2019/04/05/17:07:39.474919,LR832
2019/04/05/17:07:39.555016,LR208
2019/04/05/17:07:39.625030,LR208
2019/04/05/17:07:39.715032,LR0
2019/04/05/17:07:39.755165,LR832
2019/04/05/17:07:39.854804,LR208
2019/04/05/17:07:39.934922,LR832
2019/04/05/17:07:40.054962,LR208
2019/04/05/17:07:40.134935,LR0
2019/04/05/17:07:40.165054,LR-416
2019/04/05/17:07:40.284823,LR-416
2019/04/05/17:07:40.404952,LR-416
2019/04/05/17:07:40.504820,LR-832
2019/04/05/17:07:40.584895,LR-832
2019/04/05/17:07:40.714781,LR0
2019/04/05/17:07:40.754979,LR-416
2019/04/05/17:07:40.824800,LR0
2019/04/05/17:07:40.864914,LR-416
2019/04/05/17:07:40.964847,LR832
2019/04/05/17:07:41.074931,LR208
2019/04/05/17:07:41.145071,LR208
2019/04/05/17:07:41.215020,LR0
2019/04/05/17:07:41.245005,LR208
2019/04/05/17:07:41.314908,LR208
2019/04/05/17:07:41.384850,LR0
2019/04/05/17:07:41.414962,LR208
2019/04/05/17:07:41.495095,LR-416
2019/04/05/17:07:41.614975,LR832
2019/04/05/17:07:41.735020,LR-416
2019/04/05/17:07:41.805238,LR0
2019/04/05/17:07:41.854914,LR0
2019/04/05/17:07:41.885138,LR208
2019/04/05/17:07:41.965100,LR0
2019/04/05/17:07:42.005103,LR0
2019/04/05/17:07:42.044838,LR-416
2019/04/05/17:07:42.164989,LR-416
2019/04/05/17:07:42.285370,LR0
2019/04/05/17:07:42.315231,LR208
2019/04/05/17:07:42.384958,LR0
2019/04/05/17:07:42.425009,LR208
2019/04/05/17:07:42.495106,LR-416
2019/04/05/17:07:42.625088,LR208
2019/04/05/17:07:42.695723,LR208
2019/04/05/17:07:42.764899,LR208
2019/04/05/17:07:42.835030,LR832
2019/04/05/17:07:42.924969,LR-416
2019/04/05/17:07:43.014960,LR208
2019/04/05/17:07:43.084747,LR208
2019/04/05/17:07:43.174983,LR208
2019/04/05/17:07:43.254925,LR0
2019/04/05/17:07:43.294974,LR-416
2019/04/05/17:07:43.395023,LR208
2019/04/05/17:07:43.464963,LR208
2019/04/05/17:07:43.554937,LR208
2019/04/05/17:07:43.634982,LR208
2019/04/05/17:07:43.714972,LR0
2019/04/05/17:07:43.754935,LR0
2019/04/05/17:07:43.794813,LR208
2019/04/05/17:07:43.875762,LR208
2019/04/05/17:07:43.954816,LR0
2019/04/05/17:07:43.994867,LR-416
2019/04/05/17:07:44.114962,LR0
2019/04/05/17:07:44.144948,LR-416
2019/04/05/17:07:44.264946,LR0
2019/04/05/17:07:44.304953,LR-832
2019/04/05/17:07:44.394986,LR-416
2019/04/05/17:07:44.514962,LR0
2019/04/05/17:07:44.554971,LR0
2019/04/05/17:07:44.595032,LR0
2019/04/05/17:07:44.634993,LR0
2019/04/05/17:07:44.675054,LR-832
2019/04/05/17:07:44.784992,LR0
2019/04/05/17:07:44.825000,LR0
2019/04/05/17:07:44.864882,LR0
2019/04/05/17:07:44.905015,LR-832
2019/04/05/17:07:45.026590,LR208
2019/04/05/17:07:45.105085,LR208
2019/04/05/17:07:45.174956,LR-416
2019/04/05/17:07:45.284866,LR-416
2019/04/05/17:07:45.384904,LR-416
2019/04/05/17:07:45.464883,LR0
2019/04/05/17:07:45.504809,LR0
2019/04/05/17:07:45.544847,LR208
2019/04/05/17:07:45.624988,LR208
2019/04/05/17:07:45.694778,LR208
2019/04/05/17:07:45.765001,LR1040
2019/04/05/17:07:45.864890,LR832
2019/04/05/17:07:45.944909,LR1040
2019/04/05/17:07:46.034948,LR832
2019/04/05/17:07:46.154925,LR208
2019/04/05/17:07:46.235022,LR-416
2019/04/05/17:07:46.364996,LR-1040
2019/04/05/17:07:46.464941,LR-416
2019/04/05/17:07:46.535034,LR-832
2019/04/05/17:07:46.655005,LR-416
2019/04/05/17:07:46.734891,LR-832
2019/04/05/17:07:46.854860,LR0
2019/04/05/17:07:46.895083,LR0
2019/04/05/17:07:46.934807,LR-1814
2019/04/05/17:07:47.094848,LR-2157
2019/04/05/17:07:47.215029,LR-1848
2019/04/05/17:07:47.315118,LR-3164
2019/04/05/17:07:47.444824,LR-3746
2019/04/05/17:07:47.634906,LR-890
2019/04/05/17:07:47.764890,LR-1604
2019/04/05/17:07:47.875104,LR-1374
2019/04/05/17:07:47.975033,LR-2063
2019/04/05/17:07:48.095012,LR290
2019/04/05/17:07:48.174929,LR284
2019/04/05/17:07:48.245292,LR-409
2019/04/05/17:07:48.324753,LR-1450
2019/04/05/17:07:48.435245,LR-1348
2019/04/05/17:07:48.534842,LR-337
2019/04/05/17:07:48.634800,LR832
2019/04/05/17:07:48.714978,LR832
2019/04/05/17:07:48.805063,LR703
2019/04/05/17:07:48.885006,LR940
2019/04/05/17:07:48.974997,LR1333
2019/04/05/17:07:49.075160,LR1255
2019/04/05/17:07:49.174936,LR76
2019/04/05/17:07:49.244902,LR915
2019/04/05/17:07:49.334898,LR1058
2019/04/05/17:07:49.434834,LR1955
2019/04/05/17:07:49.544991,LR1933
2019/04/05/17:07:49.664887,LR566
2019/04/05/17:07:49.764953,LR1174
2019/04/05/17:07:49.864941,LR1665
2019/04/05/17:07:49.974965,LR1818
2019/04/05/17:07:50.084949,LR1831
2019/04/05/17:07:50.194945,LR1689
2019/04/05/17:07:50.304950,LR1589
2019/04/05/17:07:50.405058,LR2348
2019/04/05/17:07:50.524958,LR1665
2019/04/05/17:07:50.624870,LR2646
2019/04/05/17:07:50.754875,LR3721
2019/04/05/17:07:50.905319,LR458
2019/04/05/17:07:51.014945,LR1303
2019/04/05/17:07:51.114936,LR1456
2019/04/05/17:07:51.214822,LR2155
2019/04/05/17:07:51.334797,LR2437
2019/04/05/17:07:51.454787,LR1582
2019/04/05/17:07:51.564982,LR190
2019/04/05/17:07:51.644925,LR541
2019/04/05/17:07:51.754932,LR1380
2019/04/05/17:07:51.854887,LR1658
2019/04/05/17:07:51.956736,LR123
2019/04/05/17:07:52.034832,LR-940
2019/04/05/17:07:52.124690,LR-732
2019/04/05/17:07:52.214939,LR128
2019/04/05/17:07:52.285060,LR208
2019/04/05/17:07:52.354929,LR-703
2019/04/05/17:07:52.494951,LR-940
2019/04/05/17:07:52.585027,LR-501
2019/04/05/17:07:52.695181,LR-838
2019/04/05/17:07:52.784820,LR-909
2019/04/05/17:07:52.884832,LR-915
2019/04/05/17:07:52.974931,LR-1058
2019/04/05/17:07:53.065108,LR-1331
2019/04/05/17:07:53.165007,LR-1517
2019/04/05/17:07:53.265048,LR-1607
2019/04/05/17:07:53.364884,LR-1798
2019/04/05/17:07:53.475127,LR-1248
2019/04/05/17:07:53.574795,LR-986
2019/04/05/17:07:53.674958,LR-1831
2019/04/05/17:07:53.784881,LR-2522
2019/04/05/17:07:53.925317,LR75
2019/04/05/17:07:53.995022,LR-1516
